Guideline,Section,Topic,Identifier,Revision,Updated,All,OS,P,S,TS,ML1,ML2,ML3,Description,Responsible Entity,Implementation Status,Implementation Comments
Guidelines for Communications Systems,Telephone systems,Protecting conversations,ISM-0232,3,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Telephone systems used for sensitive or classified conversations encrypt all traffic that passes over external systems.,,,
Guidelines for Communications Systems,Telephone systems,Cordless telephone systems,ISM-0233,4,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Cordless telephone handsets and headsets are not used for sensitive or classified conversations unless all communications are encrypted.,,,
Guidelines for Communications Systems,Telephone systems,Speakerphones,ISM-0235,4,45647,No,Yes,Yes,Yes,Yes,No,No,No,"Speakerphones are not used on telephone systems in TOP SECRET areas unless the telephone system is located in an audio secure room, the room is audio secure during conversations and only personnel involved in conversations are present in the room.",,,
Guidelines for Communications Systems,Telephone systems,Off-hook audio protection,ISM-0236,5,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Off-hook audio protection features are used on telephone systems in areas where background conversations may exceed the sensitivity or classification that the telephone system is authorised for communicating.,,,
Guidelines for Communications Systems,Telephone systems,Off-hook audio protection,ISM-0931,6,45647,No,Yes,Yes,Yes,Yes,No,No,No,"In SECRET and TOP SECRET areas, push-to-talk handsets or push-to-talk headsets are used to meet any off-hook audio protection requirements.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing and Internet Protocol telephony infrastructure hardening,ISM-1562,0,45645,Yes,Yes,Yes,Yes,Yes,No,No,No,Video conferencing and IP telephony infrastructure is hardened.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video-aware and voice-aware firewalls and proxies,ISM-0546,9,45465,Yes,Yes,Yes,Yes,Yes,No,No,No,"When video conferencing or IP telephony traffic passes through a gateway containing a firewall or proxy, a video-aware or voice-aware firewall or proxy is used.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Protecting video conferencing and Internet Protocol telephony traffic,ISM-0548,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Video conferencing and IP telephony calls are established using a secure session initiation protocol.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Protecting video conferencing and Internet Protocol telephony traffic,ISM-0547,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Video conferencing and IP telephony calls are conducted using a secure real-time transport protocol.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,ISM-0554,1,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,An encrypted and non-replayable two-way authentication scheme is used for call authentication and authorisation.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,ISM-0553,3,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,"Authentication and authorisation is used for all actions on a video conferencing network, including call setup and changing settings.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,ISM-0555,3,45645,Yes,Yes,Yes,Yes,Yes,No,No,No,"Authentication and authorisation is used for all actions on an IP telephony network, including registering a new IP phone, changing phone users, changing settings and accessing voicemail.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,ISM-0551,7,45311,Yes,Yes,Yes,Yes,Yes,No,No,No,"IP telephony is configured such that:
• IP phones authenticate themselves to the call controller upon registration
• auto-registration is disabled and only authorised devices are allowed to access the network
• unauthorised devices are blocked by default
• all unused and prohibited functionality is disabled.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Video conferencing unit and Internet Protocol phone authentication,ISM-1014,6,45647,No,No,No,Yes,Yes,No,No,No,Individual logins are implemented for IP phones used for SECRET or TOP SECRET conversations.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Traffic separation,ISM-0549,4,45584,Yes,Yes,Yes,Yes,Yes,No,No,No,Video conferencing and IP telephony traffic is separated physically or logically from other data traffic.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Traffic separation,ISM-0556,5,45584,Yes,Yes,Yes,Yes,Yes,No,No,No,"Workstations are not connected to video conferencing units or IP phones unless the workstation or the device uses Virtual Local Area Networks or similar mechanisms to maintain separation between video conferencing, IP telephony and other data traffic.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Internet Protocol phones in public areas,ISM-0558,6,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"IP phones used in public areas do not have the ability to access data networks, voicemail and directory services.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Microphones and webcams,ISM-0559,5,45647,No,Yes,Yes,No,No,No,No,No,Microphones (including headsets and USB handsets) and webcams are not used with non-SECRET workstations in SECRET areas.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Microphones and webcams,ISM-1450,2,45647,No,Yes,Yes,Yes,No,No,No,No,Microphones (including headsets and USB handsets) and webcams are not used with non-TOP SECRET workstations in TOP SECRET areas.,,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Denial of service response plan,ISM-1019,9,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A denial of service response plan for video conferencing and IP telephony services is developed, implemented and maintained.",,,
Guidelines for Communications Systems,Video conferencing and Internet Protocol telephony,Denial of service response plan,ISM-1805,0,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A denial of service response plan for video conferencing and IP telephony services contains the following:
• how to identify signs of a denial-of-service attack
• how to identify the source of a denial-of-service attack
• how capabilities can be maintained during a denial-of-service attack
• what actions can be taken to respond to a denial-of-service attack.",,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Fax machine and multifunction device usage policy,ISM-0588,4,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A fax machine and MFD usage policy is developed, implemented and maintained.",,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Sending fax messages,ISM-1092,2,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Separate fax machines or MFDs are used for sending sensitive or classified fax messages and all other fax messages.,,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Sending fax messages,ISM-0241,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"When sending fax messages, the fax message is encrypted to an appropriate level to be communicated over unsecured telecommunications infrastructure.",,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Receiving fax messages,ISM-1075,2,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,The sender of a fax message makes arrangements for the receiver to collect the fax message as soon as possible after it is sent and for the receiver to notify the sender if the fax message does not arrive in an agreed amount of time.,,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Connecting multifunction devices to both networks and digital telephone systems,ISM-0245,5,45645,Yes,Yes,Yes,Yes,Yes,No,No,No,A direct connection from an MFD to a digital telephone system is not enabled unless the digital telephone system is authorised to operate at the same sensitivity or classification as the network to which the MFD is connected.,,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Authenticating to multifunction devices,ISM-1854,0,45466,Yes,Yes,Yes,Yes,Yes,No,No,No,"Users authenticate to MFDs before they can print, scan or copy documents.",,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Authenticating to multifunction devices,ISM-0590,8,45466,Yes,Yes,Yes,Yes,Yes,No,No,No,Authentication measures for MFDs are the same strength as those used for workstations on networks they are connected to.,,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Scanning and copying documents on multifunction devices,ISM-0589,7,45466,Yes,Yes,Yes,Yes,Yes,No,No,No,MFDs are not used to scan or copy documents above the sensitivity or classification of networks they are connected to.,,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Logging multifunction device use,ISM-1855,1,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"Use of MFDs for printing, scanning and copying purposes, including the capture of shadow copies of documents, are centrally logged.",,,
Guidelines for Communications Systems,Fax machines and multifunction devices,Observing fax machine and multifunction device use,ISM-1036,3,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Fax machines and MFDs are located in areas where their use can be observed.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Privately-owned mobile devices and desktop computers,ISM-1297,5,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,Legal advice is sought prior to allowing privately-owned mobile devices and desktop computers to access systems or data.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Privately-owned mobile devices and desktop computers,ISM-1400,8,45558,No,Yes,Yes,No,No,No,No,No,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers have enforced separation of work data from personal data.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Privately-owned mobile devices and desktop computers,ISM-1866,0,45558,No,Yes,Yes,No,No,No,No,No,Personnel accessing OFFICIAL: Sensitive or PROTECTED systems or data using privately-owned mobile devices or desktop computers are prevented from storing classified data on their privately-owned mobile devices and desktop computers.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Privately-owned mobile devices and desktop computers,ISM-0694,8,45558,No,No,No,Yes,Yes,No,No,No,Privately-owned mobile devices and desktop computers do not access SECRET and TOP SECRET systems or data.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Organisation-owned mobile devices and desktop computers,ISM-1482,7,45558,No,Yes,Yes,Yes,Yes,No,No,No,Personnel accessing systems or data using an organisation-owned mobile device or desktop computer are either prohibited from using it for personal purposes or have enforced separation of work data from any personal data.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Connecting mobile devices and desktop computers to the internet,ISM-0874,6,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices and desktop computers access the internet via a VPN connection to an organisation’s internet gateway rather than via a direct connection to the internet.,,,
Guidelines for Enterprise Mobility,Enterprise mobility,Connecting mobile devices and desktop computers to the internet,ISM-0705,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"When accessing an organisation’s network via a VPN connection, split tunnelling is disabled.",,,
Guidelines for Enterprise Mobility,Mobile device management,Mobile device management policy,ISM-1533,3,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A mobile device management policy is developed, implemented and maintained.",,,
Guidelines for Enterprise Mobility,Mobile device management,Mobile device management policy,ISM-1195,2,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"Mobile Device Management solutions that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Management, version 4.0 or later, are used to enforce mobile device management policy.",,,
Guidelines for Enterprise Mobility,Mobile device management,Approved mobile platforms,ISM-1867,0,45558,No,Yes,Yes,No,No,No,No,No,"Mobile devices that access OFFICIAL: Sensitive or PROTECTED systems or data use mobile platforms that have completed a Common Criteria evaluation against the Protection Profile for Mobile Device Fundamentals, version 3.2 or later, and are operated in accordance with the latest version of their associated ASD security configuration guide.",,,
Guidelines for Enterprise Mobility,Mobile device management,Approved mobile platforms,ISM-0687,10,45558,No,No,No,Yes,Yes,No,No,No,Mobile devices that access SECRET or TOP SECRET systems or data use mobile platforms that have been issued an Approval for Use by ASD and are operated in accordance with the latest version of their associated Australian Communications Security Instruction.,,,
Guidelines for Enterprise Mobility,Mobile device management,Data storage,ISM-0869,5,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices encrypt their internal storage and any removable media.,,,
Guidelines for Enterprise Mobility,Mobile device management,Data storage,ISM-1868,0,45558,No,No,No,Yes,Yes,No,No,No,SECRET and TOP SECRET mobile devices do not use removable media unless approved beforehand by ASD.,,,
Guidelines for Enterprise Mobility,Mobile device management,Data communications,ISM-1085,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices encrypt all sensitive or classified data communicated over public network infrastructure.,,,
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,ISM-1886,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices are configured to operate in a supervised (or equivalent) mode.,,,
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,ISM-1887,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices are configured with remote locate and wipe functionality.,,,
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,ISM-1888,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices are configured with secure lock screens.,,,
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,ISM-0863,5,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices prevent personnel from installing non-approved applications once provisioned.,,,
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,ISM-0864,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices prevent personnel from disabling or modifying security functionality once provisioned.,,,
Guidelines for Enterprise Mobility,Mobile device management,Maintaining mobile device security,ISM-1366,2,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Security updates are applied to mobile devices as soon as they become available.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Mobile device usage policy,ISM-1082,3,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"A mobile device usage policy is developed, implemented and maintained.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Personnel awareness,ISM-1083,2,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised of the sensitivity or classification permitted for voice and data communications when using mobile devices.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Personnel awareness,ISM-1299,4,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel are advised to take the following precautions when using mobile devices:
• never leave mobile devices or removable media unattended, including by placing them in checked-in luggage or leaving them in hotel safes
• never store credentials with mobile devices that they grant access to, such as in laptop computer bags
• never lend mobile devices or removable media to untrusted people, even if briefly
• never allow untrusted people to connect their mobile devices or removable media to your mobile devices, including for charging
• never connect mobile devices to designated charging stations or wall outlet charging ports
• never use gifted or unauthorised peripherals, chargers or removable media with mobile devices
• never use removable media for data transfers or backups that have not been checked for malicious code beforehand
• avoid reuse of removable media once used with other parties’ systems or mobile devices
• avoid connecting mobile devices to open or untrusted Wi-Fi networks
• consider disabling any communications capabilities of mobile devices when not in use, such as Wi-Fi, Bluetooth, Near Field Communication and ultra-wideband
• consider periodically rebooting mobile devices
• consider using a VPN connection to encrypt all cellular and wireless communications
• consider using encrypted email or messaging apps for all communications.",,,
Guidelines for Enterprise Mobility,Mobile device usage,"Using paging, message services and messaging apps",ISM-0240,7,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"Paging, Multimedia Message Service, Short Message Service and messaging apps are not used to communicate sensitive or classified data.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Using Bluetooth functionality,ISM-1196,3,45558,No,Yes,Yes,No,No,No,No,No,OFFICIAL: Sensitive and PROTECTED mobile devices are configured to remain undiscoverable to other Bluetooth devices except during Bluetooth pairing.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Using Bluetooth functionality,ISM-1200,6,45558,No,Yes,Yes,No,No,No,No,No,"Bluetooth pairing for OFFICIAL: Sensitive and PROTECTED mobile devices is performed using Secure Connections, preferably with Numeric Comparison if supported.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Using Bluetooth functionality,ISM-1198,3,45558,No,Yes,Yes,No,No,No,No,No,Bluetooth pairing for OFFICIAL: Sensitive and PROTECTED mobile devices is performed in a manner such that connections are only made between intended Bluetooth devices.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Using Bluetooth functionality,ISM-1199,4,45558,No,Yes,Yes,No,No,No,No,No,Bluetooth pairings for OFFICIAL: Sensitive and PROTECTED mobile devices are removed when there is no longer a requirement for their use.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Using Bluetooth functionality,ISM-0682,5,45647,No,No,No,Yes,Yes,No,No,No,Bluetooth functionality is not enabled on SECRET and TOP SECRET mobile devices.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Using mobile devices in public spaces,ISM-0866,5,45464,Yes,Yes,Yes,Yes,Yes,No,No,No,Sensitive or classified data is not viewed or communicated in public locations unless care is taken to reduce the chance of the screen of a mobile device being observed.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Using mobile devices in public spaces,ISM-1145,4,45647,No,No,No,Yes,Yes,No,No,No,Privacy filters are applied to the screens of SECRET and TOP SECRET mobile devices.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Using mobile devices in public spaces,ISM-1644,0,45464,Yes,Yes,Yes,Yes,Yes,No,No,No,Sensitive or classified phone calls are not conducted in public locations unless care is taken to reduce the chance of conversations being overheard.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Maintaining control of mobile devices,ISM-0871,3,45401,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices are kept under continual direct supervision when being actively used.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Maintaining control of mobile devices,ISM-0870,3,45401,Yes,Yes,Yes,Yes,Yes,No,No,No,Mobile devices are carried or stored in a secured state when not being actively used.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Maintaining control of mobile devices,ISM-1084,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"If unable to carry or store mobile devices in a secured state, they are physically transferred in a security briefcase or an approved multi-use satchel, pouch or transit bag.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Mobile device emergency sanitisation processes and procedures,ISM-0701,6,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Mobile device emergency sanitisation processes, and supporting mobile device emergency sanitisation procedures, are developed, implemented and maintained.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Mobile device emergency sanitisation processes and procedures,ISM-0702,5,45647,No,No,No,Yes,Yes,No,No,No,"If a cryptographic zeroise or sanitise function is provided for cryptographic keys on a SECRET or TOP SECRET mobile device, the function is used as part of mobile device emergency sanitisation processes and procedures.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Before travelling overseas with mobile devices,ISM-1298,2,45584,Yes,Yes,Yes,Yes,Yes,No,No,No,Personnel are advised of privacy and security risks when travelling overseas with mobile devices.,,,
Guidelines for Enterprise Mobility,Mobile device usage,Before travelling overseas with mobile devices,ISM-1554,1,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"If travelling overseas with mobile devices to high or extreme risk countries, personnel are:
• issued with newly provisioned accounts, mobile devices and removable media from a pool of dedicated travel devices which are used solely for work-related activities
• advised on how to apply and inspect tamper seals to key areas of mobile devices
• advised to avoid taking any personal mobile devices, especially if rooted or jailbroken.",,,
Guidelines for Enterprise Mobility,Mobile device usage,Before travelling overseas with mobile devices,ISM-1555,2,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"Before travelling overseas with mobile devices, personnel take the following actions:
• record all details of the mobile devices being taken, such as product types, serial numbers and International Mobile Equipment Identity numbers
• update all operating systems and applications
• remove all non-essential data, applications and accounts
• backup all remaining data, applications and settings.",,,
Guidelines for Enterprise Mobility,Mobile device usage,While travelling overseas with mobile devices,ISM-1088,6,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"Personnel report the potential compromise of mobile devices, removable media or credentials to their organisation as soon as possible, especially if they:
• provide credentials to foreign government officials
• decrypt mobile devices for foreign government officials
• have mobile devices taken out of sight by foreign government officials
• have mobile devices or removable media stolen, including if later returned
• lose mobile devices or removable media, including if later found
• observe unusual behaviour of mobile devices.",,,
Guidelines for Enterprise Mobility,Mobile device usage,After travelling overseas with mobile devices,ISM-1300,6,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Upon returning from travelling overseas with mobile devices, personnel take the following actions:
• sanitise and reset mobile devices, including all removable media
• decommission any credentials that left their possession during their travel
• report if significant doubt exists as to the integrity of any mobile devices or removable media.",,,
Guidelines for Enterprise Mobility,Mobile device usage,After travelling overseas with mobile devices,ISM-1556,2,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"If returning from travelling overseas with mobile devices to high or extreme risk countries, personnel take the following additional actions:
• reset credentials used with mobile devices, including those used for remote access to their organisation’s systems
• monitor accounts for any indicators of compromise, such as failed logon attempts.",,,
Guidelines for Evaluated Products,Evaluated product procurement,Evaluated product selection,ISM-0280,8,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"If procuring an evaluated product, a product that has completed a PP-based evaluation, including against all applicable PP modules, is selected in preference to one that has completed an EAL-based evaluation.",,,
Guidelines for Evaluated Products,Evaluated product procurement,Delivery of evaluated products,ISM-0285,1,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Evaluated products are delivered in a manner consistent with any delivery procedures defined in associated evaluation documentation.,,,
Guidelines for Evaluated Products,Evaluated product procurement,Delivery of evaluated products,ISM-0286,7,45558,No,No,No,Yes,Yes,No,No,No,"When procuring high assurance ICT equipment, ASD is contacted for any equipment-specific delivery procedures.",,,
Guidelines for Evaluated Products,Evaluated product usage,Using evaluated products,ISM-0289,3,45466,Yes,Yes,Yes,Yes,Yes,No,No,No,"Evaluated products are installed, configured, administered and operated in an evaluated configuration and in accordance with vendor guidance.",,,
Guidelines for Evaluated Products,Evaluated product usage,Using evaluated products,ISM-0290,8,45558,No,No,No,Yes,Yes,No,No,No,"High assurance ICT equipment is installed, configured, administered and operated in an evaluated configuration and in accordance with ASD guidance.",,,
Guidelines for ICT Equipment,ICT equipment usage,ICT equipment management policy,ISM-1551,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"An ICT equipment management policy is developed, implemented and maintained.",,,
Guidelines for ICT Equipment,ICT equipment usage,ICT equipment selection,ISM-1857,0,45466,Yes,Yes,Yes,Yes,Yes,No,No,No,"ICT equipment is chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products.",,,
Guidelines for ICT Equipment,ICT equipment usage,Hardening ICT equipment configurations,ISM-1858,2,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"ICT equipment is hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",,,
Guidelines for ICT Equipment,ICT equipment usage,ICT equipment registers,ISM-0336,8,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"A networked ICT equipment register is developed, implemented, maintained and verified on a regular basis.",,,
Guidelines for ICT Equipment,ICT equipment usage,ICT equipment registers,ISM-1869,0,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"A non-networked ICT equipment register is developed, implemented, maintained and verified on a regular basis.",,,
Guidelines for ICT Equipment,ICT equipment usage,Labelling ICT equipment,ISM-0294,4,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,"ICT equipment, with the exception of high assurance ICT equipment, is labelled with protective markings reflecting its sensitivity or classification.",,,
Guidelines for ICT Equipment,ICT equipment usage,Labelling high assurance ICT equipment,ISM-0296,6,45558,No,No,No,Yes,Yes,No,No,No,ASD’s approval is sought before applying labels to external surfaces of high assurance ICT equipment.,,,
Guidelines for ICT Equipment,ICT equipment usage,Classifying ICT equipment,ISM-0293,5,45464,Yes,Yes,Yes,Yes,Yes,No,No,No,"ICT equipment is classified based on the highest sensitivity or classification of data that it is approved for processing, storing or communicating.",,,
Guidelines for ICT Equipment,ICT equipment usage,Handling ICT equipment,ISM-1599,0,45524,Yes,Yes,Yes,Yes,Yes,No,No,No,ICT equipment is handled in a manner suitable for its sensitivity or classification.,,,
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,Maintenance and repairs of high assurance ICT equipment,ISM-1079,6,45558,No,No,No,Yes,Yes,No,No,No,ASD’s approval is sought before undertaking any maintenance or repairs to high assurance ICT equipment.,,,
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,On-site maintenance and repairs,ISM-0305,6,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Maintenance and repairs of ICT equipment is carried out on site by an appropriately cleared technician.,,,
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,On-site maintenance and repairs,ISM-0307,3,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"If an appropriately cleared technician is not used to undertake maintenance or repairs of ICT equipment, the ICT equipment and associated media is sanitised before maintenance or repair work is undertaken.",,,
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,On-site maintenance and repairs,ISM-0306,6,45558,Yes,Yes,Yes,Yes,Yes,No,No,No,"If an appropriately cleared technician is not used to undertake maintenance or repairs of ICT equipment, the technician is escorted by someone who:
• is appropriately cleared and briefed
• takes due care to ensure that data is not disclosed
• takes all responsible measures to ensure the integrity of the ICT equipment
• has the authority to direct the technician
• is sufficiently familiar with the ICT equipment to understand the work being performed.",,,
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,Off-site maintenance and repairs,ISM-0310,7,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,ICT equipment maintained or repaired off site is done so at facilities approved for handling the sensitivity or classification of the ICT equipment.,,,
Guidelines for ICT Equipment,ICT equipment maintenance and repairs,Inspection of ICT equipment following maintenance and repairs,ISM-1598,0,45524,Yes,Yes,Yes,Yes,Yes,No,No,No,"Following maintenance or repair activities for ICT equipment, the ICT equipment is inspected to confirm it retains its approved software configuration and that no unauthorised modifications have taken place.",,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,ICT equipment sanitisation processes and procedures,ISM-0313,6,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"ICT equipment sanitisation processes, and supporting ICT equipment sanitisation procedures, are developed, implemented and maintained.",,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,ICT equipment destruction processes and procedures,ISM-1741,1,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"ICT equipment destruction processes, and supporting ICT equipment destruction procedures, are developed, implemented and maintained.",,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising ICT equipment,ISM-0311,6,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,ICT equipment containing media is sanitised by removing the media from the ICT equipment or by sanitising the media in situ.,,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising ICT equipment,ISM-1742,0,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,ICT equipment that cannot be sanitised is destroyed.,,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising highly sensitive ICT equipment,ISM-1218,4,45647,No,No,No,Yes,Yes,No,No,No,"ICT equipment, including associated media, that is located overseas and has processed, stored or communicated AUSTEO or AGAO data, is sanitised in situ.",,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising highly sensitive ICT equipment,ISM-0312,6,45647,No,No,No,Yes,Yes,No,No,No,"ICT equipment, including associated media, that is located overseas and has processed, stored or communicated AUSTEO or AGAO data that cannot be sanitised in situ, is returned to Australia for destruction.",,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Destroying high assurance ICT equipment,ISM-0315,8,45373,No,No,No,Yes,Yes,No,No,No,High assurance ICT equipment is destroyed prior to its disposal.,,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,ISM-0317,3,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,At least three pages of random text with no blank areas are printed on each colour printer cartridge or MFD print drum.,,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,ISM-1219,2,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,MFD print drums and image transfer rollers are inspected and destroyed if there is remnant toner which cannot be removed or a print is visible on the image transfer roller.,,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,ISM-1220,2,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Printer and MFD platens are inspected and destroyed if any text or images are retained on the platen.,,,
Guidelines for ICT Equipment,ICT equipment sanitisation and destruction,Sanitising printers and multifunction devices,ISM-1221,1,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,Printers and MFDs are checked to ensure no pages are trapped in the paper path due to a paper jam.,,,
